2026-05-09 14:35:12.478 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{'principal': 'lemon_python', 'credentials': 12345678, 'appType': 3, 'loginType': 0}
2026-05-09 14:35:12.493 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-09 14:35:12.493 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{'Content-Type': 'application/json', 'Accept-Language': 'zh'}
2026-05-09 14:35:12.493 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-09 14:35:12.493 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：http://shop.lemonban.com:8107/login
2026-05-09 14:35:12.493 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-09 14:35:12.493 | INFO     | tools.handle_requests:requests_api:80 - ==================接口的请求消息============================
2026-05-09 14:35:12.493 | INFO     | tools.handle_requests:requests_api:81 - 请求方法：POST
2026-05-09 14:35:12.493 | INFO     | tools.handle_requests:requests_api:82 - 请求地址：http://shop.lemonban.com:8107/login
2026-05-09 14:35:12.493 | INFO     | tools.handle_requests:requests_api:83 - 请求参数：{'principal': 'lemon_python', 'credentials': 12345678, 'appType': 3, 'loginType': 0}
2026-05-09 14:35:12.493 | INFO     | tools.handle_requests:requests_api:84 - 请求头部：{'Content-Type': 'application/json', 'Accept-Language': 'zh'}
2026-05-09 14:35:12.743 | INFO     | tools.handle_requests:requests_api:105 - ==============================响应消息==========================
2026-05-09 14:35:12.743 | INFO     | tools.handle_requests:requests_api:106 - 响应状态码：200
2026-05-09 14:35:12.743 | INFO     | tools.handle_requests:requests_api:107 - 响应消息体：{"access_token":"5159aac7-1062-48b3-a178-3bc0969e8fa3","token_type":"bearer","refresh_token":"6192baf8-2fb8-4128-8ba3-64a1be86f48b","expires_in":1295999,"pic":"http://shop.lemonban.com:8108/2026/05/4bd660620f1843c497bd00314432bb5a.png","userId":"03c0d87a5f7d473c9d78feb0450f2bff","nickName":"lemon_python","enabled":true}
2026-05-09 14:35:12.743 | INFO     | tools.handle_extract:extract_response:22 - 需要作提取处理Key：access_token
2026-05-09 14:35:12.743 | INFO     | tools.handle_extract:extract_response:29 - 需要作提取处理Value：5159aac7-1062-48b3-a178-3bc0969e8fa3
2026-05-09 14:35:12.743 | INFO     | tools.handle_extract:extract_response:22 - 需要作提取处理Key：token_type
2026-05-09 14:35:12.743 | INFO     | tools.handle_extract:extract_response:29 - 需要作提取处理Value：bearer
2026-05-09 14:35:12.759 | INFO     | tools.handle_extract:extract_response:33 - 设置到环境变量类的值{'__module__': 'data.envi_data', '__dict__': <attribute '__dict__' of 'EnviData' objects>, '__weakref__': <attribute '__weakref__' of 'EnviData' objects>, '__doc__': None, 'access_token': '5159aac7-1062-48b3-a178-3bc0969e8fa3', 'token_type': 'bearer'}
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:46 - --------开始响应断言---------
2026-05-09 14:35:12.759 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{'$..nickName': 'lemon_python', '$..enabled': True}
2026-05-09 14:35:12.759 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:53 - 期望结果的表达式是：{'$..nickName': 'lemon_python', '$..enabled': True}
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:70 - 用例执行结果：lemon_python
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:71 - 用例预期结果：lemon_python
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:72 - 断言通过！
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:70 - 用例执行结果：True
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:71 - 用例预期结果：True
2026-05-09 14:35:12.759 | INFO     | tools.handle_assert:handle_assert:72 - 断言通过！
2026-05-09 14:35:12.774 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{'prodName': '真皮圆筒包'}
2026-05-09 14:35:12.774 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-09 14:35:12.774 | INFO     | tools.handle_replace:replace_mark:18 - ------没有读取要做替换字符串-------
2026-05-09 14:35:12.774 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：http://shop.lemonban.com:8107/search/searchProdPage
2026-05-09 14:35:12.774 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-09 14:35:12.774 | INFO     | tools.handle_requests:requests_api:80 - ==================接口的请求消息============================
2026-05-09 14:35:12.774 | INFO     | tools.handle_requests:requests_api:81 - 请求方法：GET
2026-05-09 14:35:12.774 | INFO     | tools.handle_requests:requests_api:82 - 请求地址：http://shop.lemonban.com:8107/search/searchProdPage
2026-05-09 14:35:12.774 | INFO     | tools.handle_requests:requests_api:83 - 请求参数：{'prodName': '真皮圆筒包'}
2026-05-09 14:35:12.774 | INFO     | tools.handle_requests:requests_api:84 - 请求头部：None
2026-05-09 14:35:12.884 | INFO     | tools.handle_requests:requests_api:105 - ==============================响应消息==========================
2026-05-09 14:35:12.884 | INFO     | tools.handle_requests:requests_api:106 - 响应状态码：200
2026-05-09 14:35:12.884 | INFO     | tools.handle_requests:requests_api:107 - 响应消息体：{"records":[{"prodId":5777,"pic":"http://shop.lemonban.com:8108/2025/07/84be53ea3839476398f984dbf93c969a.png","prodName":"真皮圆筒包","price":999.0,"prodCommNumber":0,"positiveRating":0.0,"praiseNumber":0}],"total":1,"size":10,"current":1,"orders":[],"optimizeCountSql":true,"hitCount":false,"countId":null,"maxLimit":null,"searchCount":true,"pages":1}
2026-05-09 14:35:12.884 | INFO     | tools.handle_extract:extract_response:22 - 需要作提取处理Key：prodId
2026-05-09 14:35:12.899 | INFO     | tools.handle_extract:extract_response:29 - 需要作提取处理Value：5777
2026-05-09 14:35:12.899 | INFO     | tools.handle_extract:extract_response:33 - 设置到环境变量类的值{'__module__': 'data.envi_data', '__dict__': <attribute '__dict__' of 'EnviData' objects>, '__weakref__': <attribute '__weakref__' of 'EnviData' objects>, '__doc__': None, 'access_token': '5159aac7-1062-48b3-a178-3bc0969e8fa3', 'token_type': 'bearer', 'prodId': 5777}
2026-05-09 14:35:12.899 | INFO     | tools.handle_assert:handle_assert:46 - --------开始响应断言---------
2026-05-09 14:35:12.899 | INFO     | tools.handle_assert:handle_assert:48 - 这条用例不需要断言！直接返回通过
2026-05-09 14:35:12.899 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{'prodId': '${prodId}'}
2026-05-09 14:35:12.899 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：['prodId']
2026-05-09 14:35:12.899 | INFO     | tools.handle_replace:replace_mark:27 - 开始进行替换字符串:['prodId']
2026-05-09 14:35:12.899 | INFO     | tools.handle_replace:replace_mark:41 - 最终得到的字符串：{"prodId": "5777"}
2026-05-09 14:35:12.899 | INFO     | tools.handle_replace:replace_mark:18 - ------没有读取要做替换字符串-------
2026-05-09 14:35:12.899 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：http://shop.lemonban.com:8107/prod/prodInfo
2026-05-09 14:35:12.899 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-09 14:35:12.899 | INFO     | tools.handle_requests:requests_api:80 - ==================接口的请求消息============================
2026-05-09 14:35:12.899 | INFO     | tools.handle_requests:requests_api:81 - 请求方法：GET
2026-05-09 14:35:12.899 | INFO     | tools.handle_requests:requests_api:82 - 请求地址：http://shop.lemonban.com:8107/prod/prodInfo
2026-05-09 14:35:12.899 | INFO     | tools.handle_requests:requests_api:83 - 请求参数：{'prodId': '5777'}
2026-05-09 14:35:12.899 | INFO     | tools.handle_requests:requests_api:84 - 请求头部：None
2026-05-09 14:35:12.993 | INFO     | tools.handle_requests:requests_api:105 - ==============================响应消息==========================
2026-05-09 14:35:12.993 | INFO     | tools.handle_requests:requests_api:106 - 响应状态码：200
2026-05-09 14:35:12.993 | INFO     | tools.handle_requests:requests_api:107 - 响应消息体：{"shopId":1,"shopName":null,"prodId":5777,"prodName":"真皮圆筒包","price":999.0,"content":"<p>真皮圆筒包</p>","oriPrice":999.0,"waterSoldNum":50,"totalStocks":9011911,"brief":"真皮圆筒包","video":"","pic":"http://shop.lemonban.com:8108/2025/07/84be53ea3839476398f984dbf93c969a.png","imgs":"http://shop.lemonban.com:8108/2025/07/84be53ea3839476398f984dbf93c969a.png","categoryId":132,"prodType":0,"scorePrice":null,"liveRoomParams":[],"skuList":[{"skuId":13234,"price":999.0,"oriPrice":999.0,"stocks":9011911,"skuName":"","skuScore":1,"pic":null,"properties":""}],"groupActivityId":0,"activityPrice":null,"startDeliveryFee":null,"deliveryModeVO":{"hasUserPickUp":false,"hasShopDelivery":true,"hasCityDelivery":false},"preSellStatus":0,"preSellTime":null}
2026-05-09 14:35:12.993 | INFO     | tools.handle_extract:extract_response:22 - 需要作提取处理Key：skuId
2026-05-09 14:35:12.993 | INFO     | tools.handle_extract:extract_response:29 - 需要作提取处理Value：13234
